SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
JAF02,South Coast,Sch1: Extant taxa (Rare flora),Asterolasia sp. Kalgan River (S. Barrett 1522),,JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
JAF02,South Coast,Sch1: Extant taxa (Rare flora),Asterolasia sp. Kalgan River (S. Barrett 1522),,JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAF02,South Coast,Sch1: Extant taxa (Rare flora),Asterolasia sp. Kalgan River (S. Barrett 1522),,JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,2,Quantitative analysis of data published or publically available following peer review,Unknown,Quantitative analysis of data published or publically available following peer review,Clarke et al 2012: two populations are distinct genetic entities and possibly subspecies; EPBC nomination for listing consultation doc: two morphologies listed. ,2,0,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative unpublished data and expert opinion,Increased (new knowledge - taxonomy),Quantitative unpublished data and expert opinion,Goldfields Region: as per TPFL; increase due to recent discovery and recognition of the taxon. ,"271,198","< 100,000 (does not meet IUCN mature individual criteria)",Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Goldfields Region: population estimate for adult plants but male and female plants needed for reproduction, increase due to recent discovery and recognition of the taxon. ","5,736","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Increased  (new knowledge - taxonomy),"S&C calc: area. Goldfields Region: polygon ok, increase due to recent discovery and recognition of the taxon. ","1,800.0","< 10,000ha (potentially meets area of occupancy criteria for EN)",Other (state details):,Increased (new knowledge - biological survey),EPBC nomination for listing consultation doc: AOO. Goldfields Region: expanding due to survey and recognition of the taxon. ,Not applicable - landscape not flammable,Highly restricted,Quantitative unpublished data and expert opinion,Static,Goldfields Region,2010,,,"Goldfields Region: past pressures, future threats",,Vulnerable,,D2,Pastoralism (specify),grazing by stock,Exploration,"clearing, disturbance",None,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy,description of taxon (or more than one),,,CP i) Threatened taxa recovery plan (specify),requires IRP,,,MI xi) Regulation - environmental impact assessment,,,,Goldfields Region: management actions,,,,
Western Australia,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by goats and rabbits,Mining ,"uranium mining, clearing for mining operations and associated transport and infrastructure",,,,,,,,,,,,,MI v) Ex-situ conservation (specify),seed collection and storage,,,EPBC listing consultation document (no date),,,,
Western Australia,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pastoralism (specify),grazing by stock,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,"Clarke et al 2012 Significant population genetic structure detected for a new
and highly restricted species of Atriplex (Chenopodiaceae)
from Western Australia, and implications for conservation
management",,,,
Western Australia,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by goats and rabbits,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
Western Australia,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processed,,,,,,,
Western Australia,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI viii) Biosecurity measures – post border (surveillance) (specify),weed managerment required by proponent,,,,,,,
MUR01,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,2,Quantitative analysis of data published or publically available following peer review,Unknown,Quantitative analysis of data published or publically available following peer review,Clarke et al 2012: two populations are distinct genetic entities and possibly subspecies; EPBC nomination for listing consultation doc: two morphologies listed. ,2,0,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative unpublished data and expert opinion,Increased (new knowledge - taxonomy),Quantitative unpublished data and expert opinion,Goldfields Region: as per TPFL; increase due to recent discovery and recognition of the taxon. ,"271,198","< 100,000 (does not meet IUCN mature individual criteria)",Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Goldfields Region: population estimate for adult plants but male and female plants needed for reproduction, increase due to recent discovery and recognition of the taxon. ","5,736","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Increased  (new knowledge - taxonomy),"S&C calc: area. Goldfields Region: polygon ok, increase due to recent discovery and recognition of the taxon. ","1,800.0","< 10,000ha (potentially meets area of occupancy criteria for EN)",Other (state details):,Increased (new knowledge - biological survey),EPBC nomination for listing consultation doc: AOO. Goldfields Region: expanding due to survey and recognition of the taxon. ,Not applicable - landscape not flammable,Highly restricted,Quantitative unpublished data and expert opinion,Static,Goldfields Region,2010,,,"Goldfields Region: past pressures, future threats",,Vulnerable,,D2,Pastoralism (specify),grazing by stock,Exploration,"clearing, disturbance",None,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy,description of taxon (or more than one),,,CP i) Threatened taxa recovery plan (specify),requires IRP,,,MI xi) Regulation - environmental impact assessment,,,,Goldfields Region: management actions,,,,
MUR01,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by goats and rabbits,Mining ,"uranium mining, clearing for mining operations and associated transport and infrastructure",,,,,,,,,,,,,MI v) Ex-situ conservation (specify),seed collection and storage,,,EPBC listing consultation document (no date),,,,
MUR01,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pastoralism (specify),grazing by stock,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,"Clarke et al 2012 Significant population genetic structure detected for a new
and highly restricted species of Atriplex (Chenopodiaceae)
from Western Australia, and implications for conservation
management",,,,
MUR01,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by goats and rabbits,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
MUR01,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processed,,,,,,,
MUR01,Goldfields,Sch1: Extant taxa (Rare flora),Atriplex sp. Yeelirrie Station (L. Trotter & A. Douglas LCH 25025),,MUR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI viii) Biosecurity measures – post border (surveillance) (specify),weed managerment required by proponent,,,,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,1,Quantitative analysis of data not publically available,Decreased (loss of genetic diversity),Quantitative analysis of data not publically available,"Albany Dist: previously 2 ESUs, loss of one (Pop 1).",3,0,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,Albany Dist and IRP 2014: included Pop 2A (E South Bluff) + Pop 3A 3C 3E (Mount Success) +  4B 4D (SE Ellen Peak) = 3; excluded Pop 1 (Talyuberlup Peak) + Pop 5 (N Ellen Track) = loss of 2 pops (extinction of subpops occured in this case but is not counted by this methodology until whole pop is extinct); translocated pops 6T and 7T are not counted as they are to seed orchards and not to establish or augment natural pops. ,"5,779","< 10,000 (potentially meets mature individual criteria VU)",Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,"Albany Dist: count, trend declining due to loss of pops. IRP 2014: 4,695 plants. ","1,081","< 1,000ha (potentially meets extent of occurrence criteria CR)",Minimum convex polygon (state detail):,Static (no change),"S&C calc: area. Albany Dist: polygon ok, trend static as loss of pops has not affected shape. JM: IRP 2014 doesn't include EOO. ",23.0,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Decreased (pressures > recovery actions),"Albany Dist: area mapped polygons, habitat reducing, translocated pops in seed orchards. S&C estimate 700ha. ",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,Albany Dist: area of suitable habitat is declining due to dieback impacts but not habitat type,2013,,,"JM: Pop 1 is thought to have been lost in a fire 1997, and several subpops of populations 2 and 3 were thought to have been lost around 2000, ie. before the 2002 start date for Audit II, however it is important that the loss of populations and individuals for this species is recognised, please adjust accordingly if this approach is incorrect. ",Endangered,Critically Endangered,,B1+2a-e,Vegetation dieback (specify),Pc dieback,Vegetation dieback (specify),Pc dieback,2014,,,,MA iv) Mitigating threatening processes – species,"quantify changes as a result of phosphite application - eg. determine changes in floristics, structure & threatened species abundance compared with non-sprayed habitat; test for soil phosphorus",EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),implement IRP,MD v) Pathogen control or eradication (specify) ,phosphite application,MI v) Ex-situ conservation (specify),seed collection,,,Albany Dist: management actions,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albany Dist: past pressures and future threats,,,,,Fire frequency,too frequent,Fire frequency,too frequent,,,,,QTP iii) Quantifying threatening processes – species,impacts of aerial canker,EV ii) Develop/implement threat monitoring protocols,phosphite monitoring; Pc monitoring,CP ix) Other management plan (specify),implement Stirling Range fire management strategy,MD vi) Habitat restoration (specify),fencing to prevent grazing,MI ii) Habitat protection through other statutory mechanisms (specify),maintain MOUs for translocations sites,,,IRP 2014,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,formerly Dryandra anatona,,,,,Problem native spp. (specify),grazing by quokkas,Problem native spp. (specify),grazing by quokkas,,,,,SC ii) Phylogeography & genetic variation/structuring ,genetic structuring between populations (east and west of Chester pass),EV i) Develop/implement ecological monitoring protocols (condition or state of asset),"intensive monitoring of demographics & reproductive success, eg. number of inflorecences, growth rate of seedlings",CP ix) Other management plan (specify),translocation plan,MD i) Fire management for biodiversity (specify),,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),protection of seed orchards from black cockatoos,,,,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross ref Montane Thicket of the eastern Stirling Range TEC,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,,,,,,,MD iv) Herbivore/omnivore control or eradication ,rabbit control if appropriate,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with land managers (translocation sites),,,,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogens (specify),aerial canker,,,,,,,,,,,MD ix) Translocation,use of seed orchards to provide source for translocated plants,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc hygiene,,,,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAF02,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,Refer to State level,,,,,0,0,N/A,-,,,Albany Dist: translocations to seed orchards in this subregion but not counted for IUCN metrics; refer to management actions.,N/A,N/A,-,,,Albany Dist: translocations to seed orchards in this subregion but not counted for IUCN metrics; refer to management actions.,N/A,N/A,-,,Albany Dist: translocations to seed orchards in this subregion but not counted for IUCN metrics; refer to management actions.,N/A,N/A,-,,Albany Dist: translocations to seed orchards in this subregion but not counted for IUCN metrics; refer to management actions.,,,,,,N/A,,,"JM: population records only relevant for ESP01 (ie. not JAF02) as it is the location of translocated seed orchards only, however the subregion is retained as management actions are relevant. ",Endangered,Critically Endangered,,B1+2a-e,Problem native spp. (specify),use of seed orchards by black cockatoos,Vegetation dieback (specify),introduction of Pc dieback to seed orchard,,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),translocation plan,MD ix) Translocation,use of seed orchards to provide source for translocated plants,MI ii) Habitat protection through other statutory mechanisms (specify),maintain MOUs for translocations sites,,,,,,,
JAF02,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem native spp. (specify),use of seed orchards by black cockatoos,,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),"intensive monitoring of demographics & reproductive success, eg. number of inflorecences, growth rate of seedlings",,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),protection of seed orchards from black cockatoos,,,,,,,
JAF02,Warren,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with land managers (translocation sites),,,,,,,
JAF02,Wheatbelt,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc hygiene,,,,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,Refer to State level,,,,,3,0,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,Albany Dist and IRP 2014: included Pop 2A (E South Bluff) + Pop 3A 3C 3E (Mount Success) +  4B 4D (SE Ellen Peak) = 3; excluded Pop 1 (Talyuberlup Peak) + Pop 5 (N Ellen Track) = loss of 2 pops (extinction of subpops occured in this case but is not counted by this methodology until whole pop is extinct); translocated pops 6T and 7T are not counted as they are to seed orchards and not to establish or augment natural pops. ,"5,779","< 10,000 (potentially meets mature individual criteria VU)",Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,"Albany Dist: count, trend declining due to loss of pops. IRP 2014: 4,695 plants. ","1,081","< 1,000ha (potentially meets extent of occurrence criteria CR)",Minimum convex polygon (state detail):,Static (no change),"S&C calc: area. Albany Dist: polygon ok, trend static as loss of pops has not affected shape. JM: IRP 2014 doesn't include EOO. ",23.0,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Decreased (pressures > recovery actions),"Albany Dist: area mapped polygons, habitat reducing, translocated pops in seed orchards. S&C estimate 700ha. ",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,Albany Dist: area of suitable habitat is declining due to dieback impacts but not habitat type,2013,,,JM: all counted pops are in ESP01. ,Endangered,Critically Endangered,,B1+2a-e,Vegetation dieback (specify),Pc dieback,Vegetation dieback (specify),Pc dieback,2014,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),implement Stirling Range fire management strategy,MD v) Pathogen control or eradication (specify) ,phosphite application,MI v) Ex-situ conservation (specify),seed collection,,,Albany Dist: management actions,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albany Dist: past pressures and future threats,,,,,Fire frequency,too frequent,Fire frequency,too frequent,,,,,,,EV ii) Develop/implement threat monitoring protocols,phosphite monitoring; Pc monitoring,,,MD vi) Habitat restoration (specify),fencing to prevent grazing,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc hygiene,,,IRP 2014,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross ref Montane Thicket of the eastern Stirling Range TEC,,,,,Problem native spp. (specify),grazing by quokkas,Problem native spp. (specify),grazing by quokkas,,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),"intensive monitoring of demographics & reproductive success, eg. number of inflorecences, growth rate of seedlings",,,MD i) Fire management for biodiversity (specify),,,,,,,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,,,,,,,MD iv) Herbivore/omnivore control or eradication ,rabbit control if appropriate,,,,,,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Banksia anatona,Cactus Banksia,ESP01 JAF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogens (specify),aerial canker,,,,,,,,,,,MD ix) Translocation,where appropriate,,,,,,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,1,Expert opinion,Static,Expert opinion,Perth Hills Dist,1,0,1 (potentially meets location/subpopulation criteria CR),Quantitative analysis of data not publically available,Static (no change),Quantitative analysis of data not publically available,"Perth Hills Dist: TPFL 5 pops but all one biological pop, trend static. TPFL 5. ","1,888","< 2,500 (potentially meets mature individual criteria EN)",Quantitative analysis of data not publically available,Static (no change),Quantitative unpublished data and expert opinion,"Perth Hills Dist: accept TPFL (count 1888 stems), BUT plants are made up of multiple stems and it is not possible to count mature individuals; trend static. ",394,"< 1,000ha (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Static (no change),"S&C calc: area. Perth Hills Dist: polygon ok, trend static. ",<10,< 10ha (potentially meets area of occupancy criteria for CR),Estimate based on expert opinion ,Static (no change),Perth Hills Dist:area estimate ,,Moderate,Expert opinion,Static,"Perth Hills Dist: sandy soils, drainage flat",2013,,,Perth Hills Dist: past pressures and future threats,Endangered,Vulnerable,,D2,"Fire regime (intensity, frequency, seasonality, scale)",,Fire frequency,too frequent,None,,,,SC ii) Phylogeography & genetic variation/structuring,determine if there is population structuring,EV ii) Develop/implement threat monitoring protocols,,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection and storage,,,Perth Hills Dist: only in Wandoo Conservation Park,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,"chlorotic leaves, unattributed cause",,,,,QTP iii) Quantifying threatening processes – species,determine response to fire season & frequency,,,,,,,MI i) Habitat protection through formal conservation reservation (specify),,,,"JM: formal reservation? Proposed bauxite mining? I have added relevant actions in red, PLEASE CHECK",,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,small area likely to all be burnt,,,,,MA iv) Mitigating threatening processes – species,determine reason for chlorosis and appropriate management actions,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation dieback (specify),Pc dieback,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altered drainage (specify),"found in drainage lines, may be afftected by salinity or other changes to nutrient balances",,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic stochasticity,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning process,,,,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogens (specify),,,,,,,,,,,,,,,,,,,,,,
Western Australia,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural catastrophes,,,,,,,,,,,,,,,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,1,Expert opinion,Static,Expert opinion,Perth Hills Dist,1,0,1 (potentially meets location/subpopulation criteria CR),Quantitative analysis of data not publically available,Static (no change),Quantitative analysis of data not publically available,"Perth Hills Dist: TPFL 5 pops but all one biological pop, trend static. TPFL 5. ","1,888","< 2,500 (potentially meets mature individual criteria EN)",Quantitative analysis of data not publically available,Static (no change),Quantitative unpublished data and expert opinion,"Perth Hills Dist: accept TPFL (count 1888 stems), BUT plants are made up of multiple stems and it is not possible to count mature individuals; trend static. ",394,"< 1,000ha (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Static (no change),"S&C calc: area. Perth Hills Dist: polygon ok, trend static. ",<10,< 10ha (potentially meets area of occupancy criteria for CR),Estimate based on expert opinion ,Static (no change),Perth Hills Dist:area estimate ,,Moderate,Expert opinion,Static,"Perth Hills Dist: sandy soils, drainage flat",2013,,,Perth Hills Dist: past pressures and future threats,Endangered,Vulnerable,,D2,"Fire regime (intensity, frequency, seasonality, scale)",,Fire frequency,too frequent,None,,,,SC ii) Phylogeography & genetic variation/structuring,determine if there is population structuring,EV ii) Develop/implement threat monitoring protocols,,,,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),seed collection and storage,,,Perth Hills Dist: only in Wandoo Conservation Park,,,,
